year,country,survival,children,population
1963,Hungary,0.9473,1.84,10073845
1963,Honduras,0.8085,7.441,2207969
1963,Haiti,0.7572,6.27,4105331
1963,Guyana,0.9095,6.24,607423
1963,Guinea,0.6769,6.55,3700897
1963,Guatemala,0.8011,6.47,4512133
1963,Greece,0.9493,2.23,8470808
1963,Ghana,0.7933,6.86,7399678
1963,Gambia,0.6539,5.72,396158
1963,France,0.9754,2.83,47571948
1963,Finland,0.9774,2.66,4522251
1963,Fiji,0.932,5.88,436199
1963,Estonia,0.97035,1.945,1259824
1963,El Salvador,0.8205,6.74,3047718
1963,Egypt,0.7184,6.53,30182426
1963,Ecuador,0.8402,6.7,4848259
1963,Denmark,0.9773,2.642,4685089
1963,Cuba,0.9505,4.61,7609348
1963,Costa Rica,0.8916,7.09,1481575
1963,"Congo, Rep.",0.8345,6.01,1096480
1963,Colombia,0.8745,6.73,17495793
1963,Chile,0.8688,5.34,8254329
1963,Canada,0.9708,3.555,18965320
1963,Cameroon,0.748,5.91,5775774
1963,Burundi,0.753,6.8,3098852
1963,Burkina Faso,0.678,6.38,5112252
1963,Bulgaria,0.952,2.17,8075674
1963,Brazil,0.838,6.06,79642214
1963,Botswana,0.8432,6.67,564277
1963,Bolivia,0.7295,6.63,3586804
1963,Benin,0.7118,6.45,2521922
1963,Belize,0.8685,6.44,100707
1963,Belgium,0.9699,2.62,9329967
1963,Belarus,0.96305,2.653,8438517
1963,Barbados,0.9282,4.2,233496
1963,Bangladesh,0.7538,6.82,54474293
1963,Bahrain,0.8479,7.19,177170
1963,Austria,0.9637,2.781,7172179
1963,Australia,0.9767,3.343,10903699
1963,Argentina,0.9286,3.08,21633126
1963,Algeria,0.7741,7.38,11420845
1963,Albania,0.8475384506,5.7,1764593
1963,Afghanistan,0.6561,7.7,10261254
1964,Zimbabwe,0.8588,7.35,4279524
1964,Zambia,0.8036,7.24,3430747
1964,Venezuela,0.9254,6.5,8759890
1964,Vanuatu,0.866,6.84,72131
1964,Uruguay,0.9409,2.86,2664775
1964,United States,0.9724,3.1,197094531
1964,United Kingdom,0.9759,2.79,54006245
1964,United Arab Emirates,0.8572,6.86,134478
1964,Ukraine,0.97314,2.12,44868657
1964,Uganda,0.7902,7.08,7746988
1964,Turkey,0.7836,5.96,31109820
1964,Tunisia,0.7661,7.19,4541457
1964,Trinidad and Tobago,0.9388,4.62,883421
1964,Tonga,0.947,7.12,71758
1964,Togo,0.7532,6.73,1654451
1964,Thailand,0.8745,6.15,30839333
1964,Tanzania,0.7723,6.8,11338515
1964,Syria,0.8383,7.56,5202606
1964,Switzerland,0.9766,2.56,5729362
1964,Sweden,0.983,2.3,7676568
1964,Swaziland,0.7993,6.78,382477
1964,Sudan,0.8181,6.6,12712917
1964,Sri Lanka,0.9047,5.067,10962237
1964,Spain,0.9568,2.83,31764645
1964,Solomon Islands,0.8655,6.39,140000
1964,Slovak Republic,0.96955,2.78,4302571
1964,Singapore,0.963,4.475,1836072
1964,Sierra Leone,0.6084,6.03,2333500
1964,Senegal,0.7042,6.98,3403161
1964,Sao Tome and Principe,0.9022,6.33,64265
1964,Rwanda,0.7919,8.13,3125315
1964,Russia,0.96535,2.37,125644787
1964,Romania,0.922,2.33,18870340
1964,Portugal,0.9084,3.19,8925792
1964,Poland,0.9508,2.5,30740557
1964,Philippines,0.9076,6.87,29664173
1964,Peru,0.7958,6.8,11143120
1964,Paraguay,0.9176,6.41,2118896
1964,Papua New Guinea,0.8202,6.27,2116822
1964,Panama,0.9151,5.87,1267907
1964,Pakistan,0.8046,6.6,50678979
1964,Oman,0.7314,7.26,614390
1964,Norway,0.9798,2.96,3693750
1964,Nigeria,0.7238,6.34,50079946
1964,Nicaragua,0.8197,7.05,2001105
1964,New Zealand,0.9761,3.22404,2581577
1964,Netherlands,0.9812,3.17,12055386
1964,Nepal,0.7176,6.1,10495972
1964,Myanmar,0.7808,6.12,22824142
1964,Mozambique,0.7023,6.6,8296714
1964,Morocco,0.7964,7.14,12959397
1964,Mexico,0.8715,6.77,43574687
1964,Mauritius,0.9089,5.79,735508
1964,Mauritania,0.7521,6.8,956369
1964,Malta,0.9647,2.8,307119
1964,Mali,0.5838,6.79,5522231
1964,Maldives,0.6524,7.18,100370
1964,Malaysia,0.9225,5.95,9286976
1964,Malawi,0.6478,7.06,3877813
1964,Luxembourg,0.9705,2.37,328603
1964,Lithuania,0.96616,2.34,2927610
1964,Libya,0.7962,7.28,1561744
1964,Liberia,0.6989,6.5,1230038
1964,Lesotho,0.8137,5.81,915820
1964,Lebanon,0.9322,5.62,2147273
1964,Latvia,0.97323,1.82,2236535
1964,Kuwait,0.9102,7.38,433288
1964,Kenya,0.821,8.1,9200107
1964,Jordan,0.8628,8.03,1059627
1964,Japan,0.9727,1.97,96253698
1964,Jamaica,0.9267,5.78,1734820
1964,Italy,0.9568,2.5,51054762
1964,Ireland,0.9703,3.99,2860976
1964,Iraq,0.8306,6.87,8227763
1964,Iran,0.764,6.89,24408927
1964,Indonesia,0.8048,5.62,101538797
1964,India,0.783,5.81,486038945
1964,Iceland,0.981,3.72,189148
1964,Hungary,0.9491,1.84,10107595
1964,Honduras,0.8137,7.443,2279568
1964,Haiti,0.7595,6.23,4188276
1964,Guyana,0.911,6.2,623694
1964,Guinea,0.6783,6.61,3759549
1964,Guatemala,0.8049,6.43,4636016
1964,Greece,0.9508,2.26,8509724
1964,Ghana,0.7973,6.89,7610752
1964,Gambia,0.6628,5.78,402436
1964,France,0.9765,2.81,48194218
1964,Finland,0.9786,2.58,4545748
1964,Fiji,0.9343,5.68,450447
1964,Estonia,0.96981,1.953,1275487
1964,El Salvador,0.8229,6.7,3146076
1964,Egypt,0.7254,6.48,30970067
1964,Ecuador,0.8436,6.67,4994917
1964,Denmark,0.9782,2.602,4722383
1964,Cuba,0.9518,4.64,7777606
1964,Cote d'Ivoire,0.7175,7.64,4251345
1964,Costa Rica,0.8954,6.89,1532386
1964,"Congo, Rep.",0.837,6.06,1126584
1964,Colombia,0.88,6.66,18019927
1964,Chile,0.8783,5.19,8457066
1964,Canada,0.9718,3.377,19309343
1964,Cameroon,0.7537,5.96,5909450
1964,Burundi,0.7559,6.8,3154474
1964,Burkina Faso,0.6825,6.41,5195464
1964,Bulgaria,0.9533,2.16,8140705
1964,Brazil,0.8425,5.95,82021855
1964,Botswana,0.8475,6.68,579518
1964,Bolivia,0.7364,6.61,3668568
1964,Benin,0.7163,6.5,2561022
1964,Belize,0.8735,6.42,103555
1964,Belgium,0.971,2.6,9384939
1964,Belarus,0.96961,2.601,8521413
1964,Barbados,0.9328,4.09,234455
1964,Bangladesh,0.7557,6.85,56071080
1964,Bahrain,0.8602,7.19,181833
1964,Austria,0.9654,2.771,7220812
1964,Australia,0.9771,3.154,11122567
1964,Argentina,0.9294,3.07,21966478
1964,Algeria,0.7815,7.38,11654905
1964,Albania,0.8542578478,5.59,1817098
1964,Afghanistan,0.6605,7.7,10474903
1965,Zimbabwe,0.8618,7.37,4422087
1965,Zambia,0.8066,7.29,3537265
1965,Venezuela,0.9276,6.37,9067485
1965,Vanuatu,0.872,6.73,74287
1965,Uruguay,0.9419,2.84,2693906
1965,United States,0.973,2.94,199452508
1965,United Kingdom,0.9765,2.76,54349899
1965,United Arab Emirates,0.8675,6.84,146387
1965,Ukraine,0.97494,2.08,45340503
1965,Uganda,0.7929,7.09,8014352
1965,Turkey,0.7849,5.9,31837999
1965,Tunisia,0.7753,7.14,4630000
1965,Trinidad and Tobago,0.9402,4.39,893922
1965,Tonga,0.949,6.97,74364
1965,Togo,0.7583,6.79,1699541
1965,Thailand,0.8795,6.13,31792743
1965,Tanzania,0.7756,6.8,11682835
1965,Syria,0.8466,7.56,5378287
1965,Switzerland,0.9775,2.53,5829839
1965,Sweden,0.9837,2.27,7734003
1965,Swaziland,0.8035,6.8,391553
1965,Sudan,0.8222,6.6,13020968
1965,Sri Lanka,0.9085,4.959,11215216
1965,Spain,0.9593,2.83,32108561
1965,Solomon Islands,0.8714,6.42,143000
1965,Slovak Republic,0.96608,2.7,4344322
1965,Singapore,0.965,4.18,1879561
1965,Sierra Leone,0.613,6.02,2373308
1965,Senegal,0.7073,7.07,3504782
1965,Sao Tome and Principe,0.9028,6.35,64803
1965,Rwanda,0.7911,8.12,3220770
1965,Russia,0.96737,2.27,126749106
1965,Romania,0.9247,2.48,19031999
1965,Portugal,0.9134,3.18,8899506
1965,Poland,0.9538,2.41,31121621
1965,Philippines,0.9084,6.78,30606162
1965,Peru,0.8029,6.75,11466936
1965,Paraguay,0.9193,6.36,2176195
